category,SYMBOL,Quarter,Change
0,ALKEM,Dec 2017 - Mar 2018,-0.1990409324522759
0,ALKYLAMINE,Sep 2018 - Dec 2018,0.1836707511987215
0,ALLCARGO,Dec 2021 - Mar 2022,-0.16245285654421
0,ALLCARGO,Sep 2019 - Dec 2019,0.1626535626535626
0,ADSL,Mar 2022 - Jun 2022,-0.2357976653696497
0,ADSL,Sep 2017 - Dec 2017,0.2672811059907835
0,ALLSEC,Mar 2021 - Jun 2021,-0.2398262675856858
0,ALLSEC,Mar 2020 - Jun 2020,0.3950823585581284
0,ALLSEC,Sep 2019 - Dec 2019,-0.6560657772261869
0,ALLSEC,Dec 2017 - Mar 2018,-0.1631895558684244
0,ALMONDZ,Sep 2021 - Dec 2021,-0.2239794041927178
0,ALMONDZ,Dec 2019 - Mar 2020,-0.4272727272727273
0,ALMONDZ,Jun 2019 - Sep 2019,-0.1212121212121213
0,ALMONDZ,Mar 2018 - Jun 2018,0.2767295597484276
0,ALOKINDS,Jun 2022 - Sep 2022,-0.1183431952662721
0,ALOKINDS,Mar 2022 - Jun 2022,-0.1990521327014219
0,ALOKINDS,Dec 2021 - Mar 2022,-0.2839059674502712
0,ALPA,Jun 2022 - Sep 2022,-0.0972549019607843
0,ALPA,Dec 2021 - Mar 2022,0.1602172437202986
0,ALPA,Dec 2019 - Mar 2020,-0.4070351758793969
0,ALPA,Jun 2018 - Sep 2018,0.2674418604651163
0,ALPSINDUS,Dec 2021 - Mar 2022,-0.4736842105263157
0,ALPSINDUS,Sep 2021 - Dec 2021,0.6323529411764706
0,ALPSINDUS,Dec 2019 - Mar 2020,-0.4761904761904761
0,ALPSINDUS,Sep 2019 - Dec 2019,2.5000000000000004
0,AMARAJABAT,Dec 2021 - Mar 2022,-0.1721886336154775
0,AMARAJABAT,Mar 2021 - Jun 2021,-0.1222762584475462
0,AMARAJABAT,Mar 2020 - Jun 2020,0.247396680767979
0,AMARAJABAT,Dec 2019 - Mar 2020,-0.4882202477113624
0,AMBER,Jun 2022 - Sep 2022,-0.1048959181300151
0,AMBER,Mar 2022 - Jun 2022,-0.3907884419062272
0,AMBER,Jun 2021 - Sep 2021,0.1079633971110943
0,AMBER,Mar 2021 - Jun 2021,-0.0969953082886899
0,AMBER,Mar 2020 - Jun 2020,0.4770638519886023
0,AMBER,Jun 2019 - Sep 2019,0.3079762277134815
0,AMBER,Jun 2018 - Sep 2018,-0.1363425328862522
0,AMBUJACEM,Jun 2021 - Sep 2021,0.1338241093729459
0,AMBUJACEM,Jun 2019 - Sep 2019,-0.077775102335661
0,AMBUJACEM,Jun 2018 - Sep 2018,0.132851445663011
0,AMIORG,Mar 2022 - Jun 2022,-0.1321619556913674
0,AMJLAND,Mar 2020 - Jun 2020,-0.1403061224489795
0,AMJLAND,Sep 2018 - Dec 2018,-0.1918735891647855
0,ARTEMISMED,Mar 2021 - Jun 2021,0.7301656495204881
0,ARTEMISMED,Mar 2020 - Jun 2020,0.3943710910354412
0,ARTEMISMED,Dec 2019 - Mar 2020,-0.5458523245214221
0,ANANTRAJ,Mar 2021 - Jun 2021,0.2326359832635984
0,ANANTRAJ,Sep 2019 - Dec 2019,0.1909090909090908
0,ANANTRAJ,Mar 2019 - Jun 2019,-0.2915451895043731
0,ANDHRSUGAR,Jun 2022 - Sep 2022,0.1121289849761818
0,ANDREWYU,Mar 2022 - Jun 2022,-0.1517857142857142
0,ANDREWYU,Dec 2021 - Mar 2022,0.2186836518046708
0,ANGIND,Sep 2017 - Dec 2017,0.3589743589743591
0,AISL,Dec 2021 - Mar 2022,-0.2496062992125984
0,ANIKINDS,Jun 2022 - Sep 2022,0.4889937106918239
0,ANIKINDS,Dec 2019 - Mar 2020,-0.3371428571428572
