SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,margin,ebitda,revenue,profit,Change
AMBUJACEM,ambujacements,AC18,Mar 2018 - Jun 2018,25-07-2018,208.45,241.7,204.7,0.19084967320261437,0.23543190401070796,0.05494563372698643,0.2510227722627096,0.15951067402254737
AMBUJACEM,ambujacements,AC18,Dec 2017 - Mar 2018,,207.45,241.7,190.55,-0.01777059773828747,0.027422783543829012,0.04471666800834737,0.07108735659187898,0.16510002410219332
AMIORG,amiorganics,AO05,Mar 2022 - Jun 2022,10-08-2022,1009.95,1110.65,888.45,-0.017252396166134158,-0.11463414634146349,-0.09564155407984125,-0.43203230148048466,-0.12030298529630179
AMIORG,amiorganics,AO05,Dec 2021 - Mar 2022,16-05-2022,981.75,1083.05,852.0,-0.28580402010050243,-0.26477024070021865,0.016650411035251403,0.0850563909774437,-0.13216195569136746
AMIORG,amiorganics,AO05,Sep 2021 - Dec 2021,,943.45,1154.2,806.65,-0.0068392769907181525,0.1276816608996539,0.13347502656748142,0.10272213662044172,0.22338226721076898
AMIORG,amiorganics,AO05,Jun 2021 - Sep 2021,23-10-2021,1199.75,1199.75,867.9,0.10383309073265408,0.1709639032130108,0.07505518763796915,0.21408128219805372,-0.2765992915190665
AMJLAND,amjland,PPP,Jun 2022 - Sep 2022,02-11-2022,30.55,30.55,27.05,0.01246938321086607,-0.20597014925373133,-0.22117962466487928,-0.21461187214611882,-0.11456628477905073
AMJLAND,amjland,PPP,Mar 2022 - Jun 2022,04-08-2022,26.0,33.4,25.0,-0.2236753100338219,-1.0148514851485149,-0.6465422612513723,-1.1842105263157892,0.28461538461538455
AMJLAND,amjland,PPP,Dec 2021 - Mar 2022,16-05-2022,25.9,29.2,24.65,0.49216878570112405,0.6400491400491402,0.2913333333333333,0.5249569707401033,0.12741312741312744
AMJLAND,amjland,PPP,Sep 2021 - Dec 2021,06-02-2021,26.25,26.7,22.05,-1.1404208998548624,0.7201365187713311,0.8692380056444026,0.8079710144927535,-0.15999999999999998
AMJLAND,amjland,PPP,Jun 2021 - Sep 2021,29-10-2021,33.2,37.05,30.35,0.4046448550601798,0.28048780487804875,-0.2086330935251799,0.39622641509433965,0.11596385542168657
AMJLAND,amjland,PPP,Mar 2021 - Jun 2021,,33.7,40.2,27.55,2.4134396355353074,2.152542372881356,0.18452380952380942,4.96875,0.19287833827893172
AMJLAND,amjland,PPP,Jun 2020 - Sep 2020,30-10-2020,21.25,29.0,19.5,0.3960144159423363,0.86,0.7681940700808626,0.8601398601398602,0.36470588235294116
AMJLAND,amjland,PPP,Mar 2020 - Jun 2020,,18.7,21.8,17.7,-0.16672516672516685,-8.510204081632653,-7.151162790697674,-10.524999999999999,0.1657754010695188
AMJLAND,amjland,PPP,Dec 2019 - Mar 2020,24-06-2020,19.6,21.55,16.85,-1.0946149217809866,0.12446351931330474,0.5820256776034237,0.3015184381778742,-0.14030612244897958
AMJLAND,amjland,PPP,Sep 2019 - Dec 2019,24-01-2020,21.7,23.1,13.3,0.7095870736086176,0.6372549019607843,-0.24914675767918087,0.5807453416149069,-0.3870967741935483
AMJLAND,amjland,PPP,Jun 2019 - Sep 2019,19-10-2019,18.55,22.85,18.15,0.6416913946587537,0.6554054054054054,0.038251366120218615,0.7333333333333334,0.23180592991913748
