SYMBOL,SECTOR
DICIND,printingstationery
DGCONTENT,digicontent
DIGISPICE,telecommunicationsequipment
DIGJAMLMTD,textileswoollenworsted
DNAMEDIA,mediaentertainment
DBL,constructioncontractingcivil
FORTISFIN,computerssoftwaremediumsmall
GEORGFISCH,engineeringheavy
DISHTV,mediaentertainment
DCAL,miscellaneous
DPC02,pharmaceuticals
DIVISLAB,pharmaceuticals
DIVOPPBEES,divoppbees
DIXON,electricals
DLF,constructioncontractingrealestate
DMCC,dmcc
DCMNVL,dnl
DODLA,consumerfood
DOLATALGO,dolatalgotech
DOLLAR,textilesreadymadeapparels
DOLPHINOFF,oildrillingandexploration
DONEAR,textilesweaving
PRECIMDIAM,computerssoftware
DPSCLTD,powergenerationdistribution
DQE,mediaentertainment
DRDATSONS,pharmaceuticals
LALPATHLAB,pharmaceuticals
DRREDDY,pharmaceuticals
DRCSYSTEMS,software
DREAMFOLKS,aerospacedefence
DREDGECORP,miscellaneous
DRSDILIP,drsdiliproadl
DSKULKARNI,constructioncontractinghousing
KEEPLEARN,dsjkeeplearn
LIQUIDETF,dspliquidetf
DSPN50ETF,etf
DSPNEWETF,etf
DSPQ50ETF,etf
DUCON,computerssoftware
DUGLOBAL,duglobal
DUNCANSLTD,plantationsteacoffee
DUNLOP,tyres
DWARKESH,sugar
DSSL,computerssoftwaremediumsmall
DYNAMATECH,pumps
DYCL,cablespowerothers
DYNAMIC,electronicscomponents
DYNPRO,dyespigments
DYNPRO-RE,dyespigments
DYNPROPP,dyespigments
ELAND,textilesweaving
E2E,itservicesconsulting
ESTCSTSTEL,steelmediumsmall
EASTSILK,textilessyntheticsilk
EASTSUGIND,sugar
EASUNREYRL,electricequipment
EASEMYTRIP,travelservices
ECEIND,electricals
ECLERX,computerssoftwaremediumsmall
WESTERNBIO,engineering
EDELWEISS,financegeneral
EBANK,edelweissetf
NIFTYEES,edelweissnifty
EDUCOMP,computerssoftwaretraining
EICHERMOT,autolcvshcvs
EIDPARRY,sugar
EIHOTEL,hotels
EIHAHOTELS,hotels
EIMCOELECO,engineeringheavy
ELFORGE,castingsforgings
DRBECK,chemicals
ELDEHSG,eldecohousing
ELDERPHARM,pharmaceuticals
ELECON,engineeringheavy
