URL,companysector,companyname,companycode
https://www.moneycontrol.com/india/stockpricequote/tradewellhold/tradewellholdings/SFS,tradewellhold,tradewellholdings,SFS
https://www.moneycontrol.com/india/stockpricequote/infrastructure/texmacorailengineeringre/TRE01,infrastructure,texmacorailengineeringre,TRE01
https://www.moneycontrol.com/india/stockpricequote/electricequipment/transformerselectricalskerala/TEK,electricequipment,transformerselectricalskerala,TEK
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/transagrotech/TAT,foodprocessing,transagrotech,TAT
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/transasiacorporation/TAC03,pharmaceuticals,transasiacorporation,TAC03
https://www.moneycontrol.com/india/stockpricequote/packaging/transfreightcontainers/TFC01,packaging,transfreightcontainers,TFC01
https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/transplastics/TP07,hospitalsmedicalservices,transplastics,TP07
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/transtechnofoods/TTF01,foodprocessing,transtechnofoods,TTF01
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/transchem/T03,pharmaceuticals,transchem,T03
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/transconresearch/TR,computerssoftwaremediumsmall,transconresearch,TR
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/transcorpinternational/TI27,financeinvestments,transcorpinternational,TI27
https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/transformersrectifiersindia/TRI,powertransmissionequipment,transformersrectifiersindia,TRI
https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/transgenebiotek/TB,hospitalsmedicalservices,transgenebiotek,TB
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/transglobefoods/TF07,foodprocessing,transglobefoods,TF07
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/transindialamps/TL01,miscellaneous,transindialamps,TL01
https://www.moneycontrol.com/india/stockpricequote/electricequipment/translamindustries/TI14,electricequipment,translamindustries,TI14
https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/transoceanicproperties/TPL01,constructioncontractinghousing,transoceanicproperties,TPL01
https://www.moneycontrol.com/india/stockpricequote/medicalequipmentsuppliesaccessories/transpactenterprises/TE16,medicalequipmentsuppliesaccessories,transpactenterprises,TE16
https://www.moneycontrol.com/india/stockpricequote/chemicals/transpekindustry/TI15,chemicals,transpekindustry,TI15
https://www.moneycontrol.com/india/stockpricequote/transportlogistics/transportcorporationindia/TCI04,transportlogistics,transportcorporationindia,TCI04
https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/transpowerengineering/TE05,powertransmissionequipment,transpowerengineering,TE05
https://www.moneycontrol.com/india/stockpricequote/financegeneral/transwarrantyfinance/TF10,financegeneral,transwarrantyfinance,TF10
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/transwindinfrastructures/TI24,infrastructuregeneral,transwindinfrastructures,TI24
https://www.moneycontrol.com/india/stockpricequote/tranway/tranwaytechnologies/TT18,tranway,tranwaytechnologies,TT18
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/trcfinancialservices/TRC,financeleasinghirepurchase,trcfinancialservices,TRC
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/treadsdirect/T05,autoancillaries,treadsdirect,T05
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/treehouseeducationaccessories/THE01,computerssoftwaretraining,treehouseeducationaccessories,THE01
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/trejharasolutionslimited/TREJH7605,miscellaneous,trejharasolutionslimited,TREJH7605
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/trenddesigns/TD02,textilesgeneral,trenddesigns,TD02
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/trendeastwestlpgbottling/TEW,miscellaneous,trendeastwestlpgbottling,TEW
https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/trendelectronics/TE12,consumergoodselectronic,trendelectronics,TE12
https://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,retail,trent,T04
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/trentwarrants/TW03,miscellaneous,trentwarrants,TW03
https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/trezeroilagrotech/TOA,edibleoilssolventextraction,trezeroilagrotech,TOA
https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/trf/TRF,engineeringheavy,trf,TRF
https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/tristarsoyaproducts/TSS02,edibleoilssolventextraction,tristarsoyaproducts,TSS02
https://www.moneycontrol.com/india/stockpricequote/chemicals/triafinechem/TFC02,chemicals,triafinechem,TFC02
https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/tribhovandasbhimjizaveri/TBZ,diamondcuttingjewellerypreciousmetals,tribhovandasbhimjizaveri,TBZ
https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/tribhuvanhousing/TH01,constructioncontractinghousing,tribhuvanhousing,TH01
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/tricomfruitproducts/RID,foodprocessing,tricomfruitproducts,RID
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/tricomindia/TI29,computerssoftwaremediumsmall,tricomindia,TI29
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/trident/AI01,textilesspinningcottonblended,trident,AI01
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tridentlifeline/TL03,miscellaneous,tridentlifeline,TL03
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/tridentprojects/TP08,constructioncontractingcivil,tridentprojects,TP08
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/tridenttexofab/TT17,textilesgeneral,tridenttexofab,TT17
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tridenttools/MT10,miscellaneous,tridenttools,MT10
https://www.moneycontrol.com/india/stockpricequote/chemicals/trigonzinco/TZ,chemicals,trigonzinco,TZ
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/trigyntechnologies/TT08,computerssoftwaremediumsmall,trigyntechnologies,TT08
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/trilleniumtechnologies/TT09,computerssoftwaremediumsmall,trilleniumtechnologies,TT09
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/trilochantradersagencies/TTA01,miscellaneous,trilochantradersagencies,TTA01
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/trilogicdigitalmedia/RP20,mediaentertainment,trilogicdigitalmedia,RP20
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/trimlineinvestments/TI17,mediaentertainment,trimlineinvestments,TI17
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/trimurthi/TDP01,pharmaceuticals,trimurthi,TDP01
https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/trimurtisynthetics/TS04,textilesprocessing,trimurtisynthetics,TS04
https://www.moneycontrol.com/india/stockpricequote/engineering/trinaquebecgears/TQG,engineering,trinaquebecgears,TQG
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/trinethrainfraventures/TIV,miscellaneous,trinethrainfraventures,TIV
https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/trinetracement/IZ,metalsnonferrous,trinetracement,IZ
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/trinitybiotech/TBT01,financeleasinghirepurchase,trinitybiotech,TBT01
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/trinityleagueindia/DWH,pharmaceuticals,trinityleagueindia,DWH
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/trinitytradelink/STF06,financeinvestments,trinitytradelink,STF06
https://www.moneycontrol.com/india/stockpricequote/financegeneral/triomercantiletrading/TMT01,financegeneral,triomercantiletrading,TMT01
